# LG_lower and the columns listed in derived_from_LG are FLOAT ESTIMATES, not certified bounds.
# H2plus: validated against certified runs C1/C2 to ~1e-6 -- usable for cell selection.
# H3plus: UNRELIABLE at the 1e-4 level (certified/float ratio 0.9845 at D3a but 2.39 at D1);
#   at d_paper=2.8, L=12, N=64 the float LG_lower -0.93640124532559 exceeds a four-way-verified
#   variational upper bound -0.936444734 by 4.3489e-05, so it is not a bound. DO NOT QUOTE as a width.
# Ritz columns (mu1N_Ritz, lambda1D_Ritz, trunc_gap_discrete, truncation_term, sigma_confinement)
#   do not pass through the Lehmann-Goerisch chain and are unaffected; the L*(N) curve SHAPE stands.
system,d_paper,box,L,Ly,N,Nprime,D,D_aux,npanel,t_star,mu1N_Ritz,eee2_Ritz,lambda1D_Ritz,mu2N_oee_Ritz,eoe_Ritz,rho_used,LG_lower,LG_lower_ideal_rho,enclosure_width,truncation_term,LG_discretisation_term,trunc_gap_discrete,lambda_ref,reference_status,sigma_confinement,hypothesis_holds,max_a_over_L,clearance,moment_tail_bound,tier,status,reason,wall_seconds,LG_lower_status,derived_from_LG
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,24,,2197,,38,1.0,-0.5554421254859,-0.2326754097644999,-0.5469986912619,,,,,,,,,0.008443434223994,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,1.82439494133,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,32,,4913,,38,1.0,-0.5556647586898,-0.2327249643732,-0.5471988025537,,,,,,,,,0.008465956136094,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,2.231945991516,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,40,,9261,,38,1.0,-0.5557498752717,-0.2327436831766999,-0.5472785849375,,,,,,,,,0.008471290334137,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,7.629444122314,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,48,,15625,,38,1.0,-0.5557892000641999,-0.2327522904931,-0.5473164362703,,,,,,,,,0.0084727637938409,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,21.64505696297,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,56,,24389,,38,1.0,-0.5558098185776,-0.2327567877659,-0.5473366452978,,,,,,,,,0.00847317327973,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,56.33948516846,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-8,8]x[-6.4,6.4]^2",8,6.4,64,,35937,,38,1.0,-0.5558216526741,-0.232759364917,-0.5473483990373,,,,,,,,,0.008473253636815,-0.551317,exact_spheroidal,-0.2982749931359,True,0.25,6.0,3.865871383739001e-17,dense,ok,,152.290585041,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-10,10]x[-8,8]^2",10,8.0,24,,2197,,48,1.0,-0.5510851363829,-0.2202647022517,-0.5500193373913,,,,,,,,,0.001065798991668,-0.551317,exact_spheroidal,-0.2425356250363,True,0.2,8.0,4.009527226372e-29,dense,ok,,0.6772029399872,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-10,10]x[-8,8]^2",10,8.0,32,48.0,4913,15625.0,48,1.0,-0.5515412066515933,-0.2203259499217847,-0.550463798670437,-0.3367019231893734,,-0.3429276655893733,-0.5522361504663772,-0.5522224266056415,0.0017723517959401,0.0008532013295629,0.0009191504663771,0.0010774079811562,-0.551317,exact_spheroidal,-0.2425356250363329,True,0.2,8.0,4.009527226371595e-29,lg,ok,,13.63549304008484,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-10,10]x[-8,8]^2",10,8.0,40,,9261,,48,1.0,-0.5516924460454,-0.2203464469282999,-0.5506132939854999,,,,,,,,,0.001079152059955,-0.551317,exact_spheroidal,-0.2425356250363,True,0.2,8.0,4.009527226372e-29,dense,ok,,8.046846866608,no_LG_run__dense_tier_only,enclosure_width; LG_discretisation_term
H2plus,2.0,"[-10,10]x[-8,8]^2",10,8.0,48,64.0,15625,35937.0,48,1.0,-0.551763790405631,-0.2203562309948892,-0.5506773767444744,-0.3369914202628507,,-0.3432171626628509,-0.5519887089158093,-0.5519842614828461,0.0013113321713347,0.0006396232555253,0.0006717089158092,0.0010864136611562,-0.551317,exact_spheroidal,-0.2425356250363329,True,0.2,8.0,4.009527226371595e-29,lg,ok,,91.32450103759763,float_estimate__agrees_with_certified_to_1e-6,enclosure_width; LG_discretisation_term
